[main] DEBUG      | org.springframework.test.context.BootstrapUtils              | Instantiating CacheAwareContextLoaderDelegate from class [org.springframework.test.context.cache.DefaultCacheAwareContextLoaderDelegate] (BootstrapUtils.java:99)
[main] DEBUG      | org.springframework.test.context.BootstrapUtils              | Instantiating BootstrapContext using constructor [public org.springframework.test.context.support.DefaultBootstrapContext(java.lang.Class,org.springframework.test.context.CacheAwareContextLoaderDelegate)] (BootstrapUtils.java:82)
[main] DEBUG      | org.springframework.test.context.BootstrapUtils              | Instantiating TestContextBootstrapper for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests] from class [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] (BootstrapUtils.java:135)
[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Resolving ContextLoader for context configuration attributes [ContextConfigurationAttributes@43255f91 declaringClass = 'com.safetynet.safetyAlerts.SafetyAlertsApplicationTests', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (AbstractTestContextBootstrapper.java:485)
[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Using ContextLoader class [org.springframework.boot.test.context.SpringBootContextLoader] for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests] (AbstractTestContextBootstrapper.java:451)
[main] INFO       | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests], using SpringBootContextLoader (AbstractTestContextBootstrapper.java:305)
[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Resolving ContextLoader for context configuration attributes [ContextConfigurationAttributes@43255f91 declaringClass = 'com.safetynet.safetyAlerts.SafetyAlertsApplicationTests', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (AbstractTestContextBootstrapper.java:485)
[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Using ContextLoader class [org.springframework.boot.test.context.SpringBootContextLoader] for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests] (AbstractTestContextBootstrapper.java:451)
[main] TRACE      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Processing locations and classes for context configuration attributes [ContextConfigurationAttributes@43255f91 declaringClass = 'com.safetynet.safetyAlerts.SafetyAlertsApplicationTests', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (AbstractTestContextBootstrapper.java:352)
[main] DEBUG      | org.springframework.test.context.support.AbstractContextLoader | Did not detect default resource location for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests]: class path resource [com/safetynet/safetyAlerts/SafetyAlertsApplicationTests-context.xml] does not exist (AbstractContextLoader.java:258)
[main] DEBUG      | org.springframework.test.context.support.AbstractContextLoader | Did not detect default resource location for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests]: class path resource [com/safetynet/safetyAlerts/SafetyAlertsApplicationTestsContext.groovy] does not exist (AbstractContextLoader.java:258)
[main] INFO       | org.springframework.test.context.support.AbstractContextLoader | Could not detect default resource locations for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. (AbstractContextLoader.java:264)
[main] INFO       | org.springframework.test.context.support.AnnotationConfigContextLoaderUtils | Could not detect default configuration classes for test class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests]: SafetyAlertsApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. (AnnotationConfigContextLoaderUtils.java:83)
[main] TRACE      | org.springframework.core.io.support.SpringFactoriesLoader    | Loaded [org.springframework.test.context.ContextCustomizerFactory] names: [org.springframework.boot.test.context.ImportsContextCustomizerFactory, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizerFactory, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory, org.springframework.boot.test.mock.mockito.MockitoContextCustomizerFactory, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizerFactory, org.springframework.boot.test.web.reactive.server.WebTestClientContextCustomizerFactory, org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizerFactory, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizerFactory, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory, org.springframework.test.context.web.socket.MockServerContainerContextCustomizerFactory, org.springframework.test.context.support.DynamicPropertiesContextCustomizerFactory] (SpringFactoriesLoader.java:103)
[main] TRACE      | org.springframework.test.context.support.ApplicationContextInitializerUtils | Processing context initializers for configuration attributes [ContextConfigurationAttributes@43255f91 declaringClass = 'com.safetynet.safetyAlerts.SafetyAlertsApplicationTests', classes = '{}', locations = '{}', inheritLocations = false, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'org.springframework.test.context.ContextLoader'] (ApplicationContextInitializerUtils.java:73)
[main] DEBUG      | org.springframework.test.context.support.ActiveProfilesUtils | Could not find an 'annotation declaring class' for annotation type [org.springframework.test.context.ActiveProfiles] and class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests] (ActiveProfilesUtils.java:79)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved classpath location [com/safetynet/safetyAlerts/] to resources [URL [file:/C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/test-classes/com/safetynet/safetyAlerts/], URL [file:/C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/classes/com/safetynet/safetyAlerts/]] (PathMatchingResourcePatternResolver.java:323)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts] for files matching pattern [C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/test-classes/com/safetynet/safetyAlerts/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Looking for matching resources in directory tree [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts] (PathMatchingResourcePatternResolver.java:733)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Searching directory [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts] for files matching pattern [C:/Users/ptiqu/Desktop/WorkSpace/P5/safetyAlerts/target/classes/com/safetynet/safetyAlerts/*.class] (PathMatchingResourcePatternResolver.java:795)
[main] TRACE      | org.springframework.core.io.support.PathMatchingResourcePatternResolver | Resolved location pattern [classpath*:com/safetynet/safetyAlerts/*.class] to resources [file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts\SafetyAlertsApplicationTests.class], file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts\SafetyAlertsApplication.class]] (PathMatchingResourcePatternResolver.java:520)
[main] TRACE      | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider | Scanning file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts\SafetyAlertsApplicationTests.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] TRACE      | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider | Ignored because not matching any filter: file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\test-classes\com\safetynet\safetyAlerts\SafetyAlertsApplicationTests.class] (ClassPathScanningCandidateComponentProvider.java:447)
[main] TRACE      | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider | Scanning file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts\SafetyAlertsApplication.class] (ClassPathScanningCandidateComponentProvider.java:425)
[main] DEBUG      | org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider | Identified candidate component class: file [C:\Users\ptiqu\Desktop\WorkSpace\P5\safetyAlerts\target\classes\com\safetynet\safetyAlerts\SafetyAlertsApplication.class] (ClassPathScanningCandidateComponentProvider.java:435)
[main] INFO       | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | Found @SpringBootConfiguration com.safetynet.safetyAlerts.SafetyAlertsApplication for test class com.safetynet.safetyAlerts.SafetyAlertsApplicationTests (SpringBootTestContextBootstrapper.java:238)
[main] DEBUG      | org.springframework.boot.test.context.SpringBootTestContextBootstrapper | @TestExecutionListeners is not present for class [com.safetynet.safetyAlerts.SafetyAlertsApplicationTests]: using defaults. (AbstractTestContextBootstrapper.java:124)
